Brand,Model,Cap@20Hr(Ah),Cap@10hr(Ah),Max Charge(A),Price
AA Champion,`C12V130Ah <https://aasolar.co.nz/wp-content/uploads/2020/04/C12V130AH.pdf>`_,110,100,25,`$370 <https://aasolar.co.nz/product/aa-champion-12v-agm-deep-cycle-batteries/>`_
AMP-TECH,`AT12900DS <https://www.supercharge.com.au/wp-content/uploads/2019/10/AMP-Tech-Deep-Cycle-Batteries-6pp-A4-Brochure2.pdf>`_,105,95.2,,`$399 <https://superstart.net.nz/agm-deep-cycle-battery-105ah/>`_
EPBLUE,`ED12-100B <https://www.ablesolar.co.nz/site/ablesolar/ED12-110.pdf>`_,105,100,30,
EPBLUE,DG12-40,40,,,
Everexceed, :download:`LC12-100 </files/LC 12-100.pdf>`,106.8,100,20,`$610 <https://www.cellpower.co.nz/shop/product/345281/everexceed-lc-12-100-100-ahr-12-volt/>`_
HAZE,`HZY-SL12-100 <http://www.hazebattery.com/date/Solar.pdf>`_,105,92.6,5,
HAZE,`HZY-SL12-70J <http://www.hazebattery.com/date/Solar.pdf>`_,71.5,62.9,5,
Hoppecke,`sun power VR M 12-90 <https://www.hoppecke.com/fileadmin/Redakteur/Hoppecke-Main/Products-Import/sun_power_vrm_brochure_en.pdf>`_,80,76,,
Hoppecke,`sun power VR M 12-135 <https://www.hoppecke.com/fileadmin/Redakteur/Hoppecke-Main/Products-Import/sun_power_vrm_brochure_en.pdf>`_,118,111,,
REMCO,`RM12-33 <https://hcb.co.nz/products/rm12-33>`_,35,32.6,,`$179 <https://dcpower.co.nz/product/batteries/alarms-standby/remco-rm12-33/>`_
Synergy,`AC12-100 <https://hcb.co.nz/file/4837/download?token=F_mrdXh3>`_,107,100,,
Synergy,`A12-5 <https://hcb.co.nz/file/4837/download?token=F_mrdXh3>`_,5.4,5,1.8,
