Description,Quantity,Amount Each,Shipping+ VAT,Total Amount,Alternative Links
`i6-transmitter <https://hobbyking.com/en_us/turnigy-tgy-i6-afhds-transmitter-and-6ch-receiver-mode-2.html?___store=en_us>`_,1,$61.31,$20.00,$81.31,
`iA6C-Receiver <https://hobbyking.com/en_us/turnigy-ia6c-ppm-sbus-receiver.html>`_,1,$9.37,$20.00,$29.37,
`Pixhawk 4 mini + GPS <https://shop.holybro.com/pixhawk4-mini_p1120.html>`_,1,$214.00,$18.50,$232.50,
`telemetry-radio-v3 <https://shop.holybro.com/transceiver-telemetry-radio-v3_p1103.html>`_,1,$39.00,$18.50,$57.50,
`Motor X4110S 340kv <https://sunnyskyusa.com/collections/xs-motors/products/sunnysky-x4110s-motors>`_,6,$72.08,$50.00,$482.48,`Alibaba <https://www.alibaba.com/product-detail/Sunnysky-X3515S-KV400-rc-motor-outrunner_60587113344.html>`_
`ESC Flame 70A <https://store.tmotor.com/goods.php?id=371>`_,6,$69.00,$0.00,$414.00,`Ali <https://www.aliexpress.com/item/32807159596.html>`_
`Propellers MS1704 <https://store.tmotor.com/goods.php?id=825>`_,6,$21.99,$0.00,$131.94,`Ali <https://www.aliexpress.com/item/33058149159.html>`_
`Battery <https://hobbyking.com/en_us/zippy-compact-5800mah-6s-25c-lipo-pack-xt90.html>`_,3,$127.83,$20.00,$403.49,
`Logger MKR Zero <https://nz.rs-online.com/web/p/arduino/1697584/>`_,1,$35.83,$15.00,$50.83,
`MicroSD card <https://www.pbtech.co.nz/category/peripherals/usb-memory-cards/microsd-cards>`_,1,$0.00,$0.00,$0.00,
,,,,,
,,,,,
,,,,,
`Carbon Square Tube 20mm <https://www.aliexpress.com/item/32946654825.html>`_,3,$10.53,$3.68,$35.27,`Ali <https://www.aliexpress.com/item/4000720317784.html>`_
`Carbon Round Tube 12mm <https://www.aliexpress.com/item/32577492172.html>`_,7,$7.20,$0.00,$50.40,
`Carbon Sheet 3mm <https://www.aliexpress.com/item/33005016344.html>`_,2,$6.30,$1.50,$14.10,`Banggood <https://nz.banggood.com/125x75x(0_5-5)mm-Black-Matte-Twill-Carbon-Fiber-Plate-Sheet-Board-Weave-Carbon-Fiber-Pannel-Various-Thickness-p-1444656.html?cur_warehouse=CN&ID=519100&rmmds=category>`_
`XT30U <https://www.aliexpress.com/item/32784217001.html>`_,2,$2.26,$0.56,$5.08,
`MR60 <https://www.aliexpress.com/item/32920686104.html>`_,2,$5.49,$2.00,$12.98,
`Cap Socket SS304 M3x16 <https://mecha4makers.co.nz/product/bolts-cap-head-m3/>`_,50,$0.10,$0.00,$5.00,
`Cap Socket SS304 M3x30 <https://mecha4makers.co.nz/product/bolts-cap-head-m3/>`_,50,$0.17,$0.00,$8.50,
`SS Nyloc M3 <https://mecha4makers.co.nz/product/nut-locking-stainless-steel-m3/>`_,50,$0.10,$0.00,$5.00,
`SS Washer M3 <https://mecha4makers.co.nz/product/washer-din9021-stainless-steel-m3/>`_,50,$0.03,$0.00,$1.50,
`Black PETG <https://kiwi3d.co.nz/product/kiwi3d-black-petg-filament/>`_,2,$32.48,$5.00,$69.96,`eSun <https://3dprintingservices.co.nz/product-category/3d-printing-filament/petg-3d-filament/>`_
`Various Heatshrink <https://www.jaycar.co.nz/3-0mm-black-heatshrink-tubing/p/WH5532>`_,5,$3.00,$0.00,$15.00,
`Zip ties 3.5mm <https://www.mitre10.co.nz/shop/number-8-cable-ties-3-6mm-x-200mm-pack-of-300-black/p/270552>`_,1,$4.00,$0.00,$4.00,`Mitre 10 <https://www.mitre10.co.nz/shop/tridon-cable-ties-150x4mm-pack-of-100-black/p/102962>`_
`Pool Noodle <https://www.bunnings.co.nz/aquastix-foam-tubes-pool-noodle_p0243457>`_,1,$4.00,$0.00,$4.00,
`RPSMA <https://nz.rs-online.com/web/p/coaxial-cable/7942863/>`_,1,$8.41,$15.00,$23.41,
`M3 Threaded-inserts <https://nz.rs-online.com/web/p/threaded-inserts/2040616/>`_,1,$30.10,$15.00,$45.10,`Ali <https://www.aliexpress.com/item/1005001467877770.html>`_
`Silicone Wire <https://www.aliexpress.com/item/4000005090280.html>`_,2,$20.00,$0.00,$40.00,
,,,,,
,,,,,
`Black TPU <https://kiwi3d.co.nz/product/kiwi3d-black-tpu/>`_,1,40.42,$0.00,$40.42,
`Black PETG+Carbon Fibre <https://kiwi3d.co.nz/product/kiwi3d-carbon-fiber-petg-filament/>`_,1,46.92,$0.00,$46.92,
,,,,"$2,310.06",
,,,,,
